platform,region,rank,amount,relevant_at
PC,emea,6,1778,2018-03-15
PC,apac,2,131,2018-03-15
PC,emea,2,481,2018-03-15
PC,ncsa,18,1079,2018-03-15
PC,apac,6,516,2018-03-15
XBOX,apac,6,131,2018-03-15
PS4,emea,19,1560,2018-03-15
PS4,ncsa,11,9795,2018-03-15
XBOX,emea,2,222,2018-03-15
XBOX,ncsa,18,3314,2018-03-15
XBOX,apac,16,508,2018-03-15
PC,apac,16,2417,2018-03-15
PC,emea,16,8316,2018-03-15
XBOX,emea,16,5601,2018-03-15
PC,apac,8,883,2018-03-15
XBOX,apac,8,298,2018-03-15
PS4,apac,1,715,2018-03-15
PS4,ncsa,5,1890,2018-03-15
PC,ncsa,20,277,2018-03-15
PS4,emea,1,2213,2018-03-15
XBOX,emea,8,2150,2018-03-15
PC,emea,8,3312,2018-03-15
XBOX,ncsa,20,556,2018-03-15
PC,ncsa,15,7873,2018-03-15
PS4,apac,13,7980,2018-03-15
XBOX,ncsa,15,21655,2018-03-15
PS4,emea,13,41289,2018-03-15
PS4,ncsa,1,1288,2018-03-15
PS4,apac,5,646,2018-03-15
XBOX,emea,20,248,2018-03-15
PC,ncsa,8,2094,2018-03-15
XBOX,apac,20,21,2018-03-15
PS4,emea,5,3631,2018-03-15
PC,ncsa,16,4783,2018-03-15
XBOX,ncsa,16,13861,2018-03-15
PS4,apac,16,3544,2018-03-15
PS4,global,5,11825,2018-03-28
XBOX,global,15,42261,2018-03-28
PS4,emea,14,44496,2018-03-20
PS4,apac,14,8988,2018-03-20
PS4,emea,17,26579,2018-03-20
PC,ncsa,10,4565,2018-03-20
PS4,global,0,650328,2018-03-28
PS4,global,2,4470,2018-03-28
PC,global,1,5326,2018-03-28
XBOX,global,8,12227,2018-03-28
PC,global,8,10332,2018-03-28
XBOX,global,1,4001,2018-03-28
PS4,global,4,8602,2018-03-28
PC,global,17,27152,2018-03-28
XBOX,global,1,12526,2018-05-05
PS4,global,4,16920,2018-05-05
PS4,global,15,92172,2018-05-05
PC,emea,10,7926,2018-03-24
XBOX,global,2,4339,2018-05-05
PS4,global,8,39181,2018-05-05
PS4,global,1,30522,2018-05-05
PC,global,2,4220,2018-05-05
XBOX,ncsa,12,14341,2018-03-20
XBOX,apac,7,270,2018-03-20
PC,apac,7,938,2018-03-20
XBOX,ncsa,10,11030,2018-03-20
PC,ncsa,12,5525,2018-03-20
PC,emea,7,3216,2018-03-20
XBOX,emea,7,2076,2018-03-20
XBOX,apac,2,38,2018-03-20
PS4,apac,19,427,2018-03-20
XBOX,emea,6,1577,2018-03-20
PC,emea,6,2421,2018-03-20
PC,apac,2,215,2018-03-20
PS4,global,18,29301,2018-05-05
PS4,global,13,91002,2018-03-22
XBOX,global,10,16866,2018-03-22
PC,global,11,15190,2018-03-22
XBOX,global,11,18745,2018-03-22
PC,global,10,14283,2018-03-22
PS4,global,6,12881,2018-03-22
PC,global,15,31611,2018-03-22
PS4,global,7,16200,2018-03-22
PC,emea,19,1199,2018-03-29
PC,apac,18,1946,2018-04-12
PC,apac,18,1137,2018-03-24
PC,ncsa,6,1818,2018-03-24
PC,ncsa,7,2400,2018-03-24
XBOX,apac,10,694,2018-03-24
PC,apac,12,2874,2018-03-24
XBOX,apac,12,762,2018-03-24
PC,apac,10,2466,2018-03-24
XBOX,ncsa,7,5460,2018-03-24
PS4,apac,11,2763,2018-03-15
XBOX,apac,18,117,2018-03-15
PC,apac,18,650,2018-03-15
PC,ncsa,6,1176,2018-03-15
PC,ncsa,7,1518,2018-03-15
XBOX,apac,10,486,2018-03-15
PC,apac,12,2018,2018-03-15
XBOX,apac,12,596,2018-03-15
PC,apac,10,1630,2018-03-15
XBOX,ncsa,7,3331,2018-03-15
PC,emea,10,5579,2018-03-15
XBOX,emea,12,4907,2018-03-15
XBOX,emea,10,3786,2018-03-15
PC,emea,12,7394,2018-03-15
XBOX,apac,9,357,2018-03-15
PC,apac,9,1127,2018-03-15
PS4,ncsa,17,13791,2018-03-15
PC,emea,9,4283,2018-03-15
PS4,ncsa,14,26516,2018-03-15
XBOX,emea,9,2806,2018-03-15
PS4,ncsa,0,1040085,2018-03-15
PS4,apac,3,327,2018-03-15
PS4,emea,3,1584,2018-03-15
PS4,ncsa,3,954,2018-03-15
PS4,apac,0,1153275,2018-03-15
PS4,emea,0,955080,2018-03-15
PC,ncsa,9,2651,2018-03-15
PS4,apac,17,4547,2018-03-15
XBOX,ncsa,9,6345,2018-03-15
PS4,emea,14,38771,2018-03-15
PS4,apac,14,7522,2018-03-15
PS4,emea,17,19760,2018-03-15
PC,ncsa,10,3684,2018-03-15
XBOX,ncsa,12,11594,2018-03-15
XBOX,apac,7,179,2018-03-15
PC,apac,7,631,2018-03-15
PC,ncsa,12,4565,2018-03-15
XBOX,ncsa,10,8791,2018-03-15
PC,emea,7,2417,2018-03-15
PC,apac,6,263,2018-03-11
XBOX,emea,7,1485,2018-03-15
XBOX,apac,2,23,2018-03-15
PS4,apac,19,269,2018-03-15
XBOX,emea,6,1118,2018-03-15
PS4,emea,16,18840,2018-03-15
XBOX,apac,1,38,2018-03-15
XBOX,ncsa,5,1634,2018-03-15
PS4,apac,8,1525,2018-03-15
PC,ncsa,5,847,2018-03-15
PS4,ncsa,20,603,2018-03-15
PC,emea,1,1190,2018-03-15
PS4,emea,8,8946,2018-03-15
XBOX,emea,1,446,2018-03-15
PC,apac,13,5564,2018-03-15
PS4,ncsa,15,20296,2018-03-15
XBOX,apac,13,1420,2018-03-15
XBOX,emea,13,11979,2018-03-15
PC,emea,13,18606,2018-03-15
PS4,ncsa,4,1304,2018-03-15
PS4,emea,4,2395,2018-03-15
PS4,apac,4,445,2018-03-15
XBOX,ncsa,13,28528,2018-03-15
PS4,apac,15,5769,2018-03-15
PS4,emea,15,29823,2018-03-15
PC,apac,5,363,2018-03-15
PS4,emea,20,1157,2018-03-15
PC,ncsa,1,628,2018-03-15
XBOX,apac,5,96,2018-03-15
XBOX,ncsa,1,945,2018-03-15
PS4,ncsa,8,5287,2018-03-15
PC,apac,14,3527,2018-03-11
XBOX,emea,17,3318,2018-03-11
PC,emea,17,4604,2018-03-11
XBOX,apac,14,905,2018-03-11
PS4,ncsa,10,5946,2018-03-11
PS4,apac,7,570,2018-03-11
PS4,ncsa,12,8021,2018-03-11
PS4,emea,7,3866,2018-03-11
PC,apac,19,97,2018-03-11
XBOX,apac,19,16,2018-03-11
PS4,emea,6,2710,2018-03-11
PS4,apac,2,98,2018-03-11
PS4,emea,2,489,2018-03-11
PS4,ncsa,18,1701,2018-03-11
XBOX,emea,19,178,2018-03-11
PS4,apac,6,459,2018-03-11
XBOX,ncsa,11,6319,2018-03-11
PC,ncsa,11,2528,2018-03-11
PC,emea,19,250,2018-03-11
PC,ncsa,2,143,2018-03-11
PC,emea,18,981,2018-03-11
XBOX,ncsa,2,206,2018-03-11
XBOX,emea,18,734,2018-03-11
PS4,ncsa,19,440,2018-03-11
PS4,emea,11,10645,2018-03-11
PS4,apac,11,1784,2018-03-11
XBOX,ncsa,6,1259,2018-03-11
XBOX,apac,18,84,2018-03-11
PC,apac,18,361,2018-03-11
XBOX,emea,14,10953,2018-03-14
PC,apac,17,2508,2018-03-14
PS4,ncsa,9,6341,2018-03-14
XBOX,apac,17,496,2018-03-14
PC,emea,14,17279,2018-03-14
PC,apac,14,4841,2018-03-14
XBOX,emea,17,5141,2018-03-14
PS4,emea,6,3870,2018-03-13
PS4,apac,2,150,2018-03-13
PS4,emea,2,754,2018-03-13
PS4,ncsa,18,2588,2018-03-13
XBOX,emea,19,244,2018-03-13
PS4,apac,6,686,2018-03-13
XBOX,ncsa,11,8364,2018-03-13
PC,emea,19,398,2018-03-13
PC,ncsa,11,3345,2018-03-13
PC,ncsa,2,199,2018-03-13
PC,emea,18,1439,2018-03-13
XBOX,emea,18,1043,2018-03-13
XBOX,ncsa,2,352,2018-03-13
PS4,ncsa,19,708,2018-03-13
PS4,emea,11,13499,2018-03-13
XBOX,ncsa,6,2013,2018-03-13
PS4,apac,11,2271,2018-03-13
XBOX,ncsa,19,982,2018-03-17
XBOX,emea,11,4663,2018-03-17
PS4,ncsa,2,785,2018-03-17
PC,emea,20,518,2018-03-16
PC,ncsa,12,4924,2018-03-17
XBOX,ncsa,10,9780,2018-03-17
PC,emea,7,2670,2018-03-17
XBOX,apac,0,796783,2018-04-01
PC,ncsa,4,524,2018-03-15
XBOX,ncsa,4,1048,2018-03-15
PC,emea,4,875,2018-03-15
XBOX,emea,4,509,2018-03-15
XBOX,apac,4,59,2018-03-15
PC,apac,4,254,2018-03-15
XBOX,apac,15,886,2018-03-15
PC,apac,15,3960,2018-03-15
PS4,ncsa,13,27168,2018-03-15
PC,emea,15,13484,2018-03-15
XBOX,emea,15,8932,2018-03-15
XBOX,ncsa,8,5006,2018-03-15
PC,emea,20,468,2018-03-15
XBOX,global,18,4754,2018-03-15
PS4,global,12,31858,2018-03-15
PC,global,18,3604,2018-03-15
PC,global,9,7955,2018-03-15
XBOX,global,9,9441,2018-03-15
PC,apac,0,748541,2018-04-01
XBOX,emea,5,802,2018-03-15
PS4,apac,20,328,2018-03-15
PC,emea,5,1258,2018-03-15
PS4,ncsa,16,12910,2018-03-15
PS4,emea,0,976937,2018-03-12
PS4,apac,17,3031,2018-03-12
PC,ncsa,9,2068,2018-03-12
XBOX,ncsa,9,4739,2018-03-12
PS4,emea,14,33938,2018-03-12
PS4,apac,14,5995,2018-03-12
PS4,emea,17,14705,2018-03-12
PC,ncsa,10,2832,2018-03-12
XBOX,ncsa,12,9376,2018-03-12
XBOX,apac,7,136,2018-03-12
PC,apac,7,418,2018-03-12
PC,ncsa,12,3750,2018-03-12
XBOX,ncsa,10,7048,2018-03-12
PC,emea,7,1768,2018-03-12
XBOX,apac,16,437,2018-03-13
PC,apac,16,1969,2018-03-13
PC,emea,16,7074,2018-03-13
XBOX,emea,16,4876,2018-03-13
PC,apac,8,720,2018-03-13
XBOX,apac,8,227,2018-03-13
PS4,ncsa,5,1569,2018-03-13
PS4,apac,1,580,2018-03-13
PC,global,11,9960,2018-03-13
XBOX,global,11,12390,2018-03-13
PC,global,10,9452,2018-03-13
PS4,global,6,6824,2018-03-13
PC,global,15,22133,2018-03-13
PS4,global,7,9213,2018-03-13
PC,global,20,753,2018-03-13
XBOX,global,20,566,2018-03-13
PS4,global,5,4675,2018-03-13
XBOX,global,15,28263,2018-03-13
PC,global,12,29510,2018-05-05
XBOX,global,12,34035,2018-05-05
PS4,global,9,46364,2018-05-05
XBOX,emea,7,1713,2018-03-17
XBOX,apac,2,27,2018-03-17
PC,apac,4,326,2018-03-17
PC,apac,15,4319,2018-03-17
PC,global,13,51297,2018-03-30
XBOX,apac,19,34,2018-03-14
PS4,emea,6,4250,2018-03-14
PS4,apac,2,159,2018-03-14
PS4,emea,2,870,2018-03-14
PS4,ncsa,18,2998,2018-03-14
XBOX,emea,19,321,2018-03-14
PS4,apac,6,756,2018-03-14
XBOX,ncsa,11,15360,2018-03-31
PS4,global,15,66644,2018-03-22
XBOX,global,2,1309,2018-03-22
PS4,global,8,21647,2018-03-22
PS4,global,1,7552,2018-03-22
PC,global,2,1489,2018-03-22
PS4,global,18,14308,2018-03-22
PC,global,12,17960,2018-03-22
XBOX,global,12,21697,2018-03-22
PC,emea,17,15193,2018-04-01
PC,emea,18,4251,2018-04-01
XBOX,ncsa,2,1369,2018-04-01
XBOX,apac,7,447,2018-04-01
PC,emea,20,603,2018-03-17
XBOX,emea,20,349,2018-03-17
PC,ncsa,8,2306,2018-03-17
XBOX,apac,20,31,2018-03-17
PS4,emea,5,4175,2018-03-17
PC,apac,20,438,2018-03-17
PC,ncsa,16,5193,2018-03-17
XBOX,ncsa,16,15283,2018-03-17
PS4,apac,16,3857,2018-03-17
XBOX,global,18,5518,2018-03-17
PC,apac,7,1567,2018-04-01
PC,ncsa,12,7187,2018-04-01
XBOX,emea,10,2511,2018-03-11
XBOX,apac,9,200,2018-03-11
PC,apac,9,679,2018-03-11
PS4,ncsa,17,7600,2018-03-11
PC,emea,9,2574,2018-03-11
PS4,ncsa,14,19514,2018-03-11
XBOX,emea,9,1676,2018-03-11
PS4,ncsa,0,1057486,2018-03-11
PS4,apac,3,169,2018-03-11
PS4,emea,3,769,2018-03-11
PS4,ncsa,3,471,2018-03-11
PS4,apac,0,1134963,2018-03-11
PS4,emea,0,995227,2018-03-11
PC,ncsa,9,1634,2018-03-11
PS4,apac,17,2379,2018-03-11
XBOX,ncsa,9,3704,2018-03-11
PS4,emea,14,30358,2018-03-11
PS4,apac,14,5391,2018-03-11
PS4,emea,17,11672,2018-03-11
PC,ncsa,10,2371,2018-03-11
XBOX,ncsa,12,7794,2018-03-11
XBOX,apac,7,119,2018-03-11
PC,apac,7,347,2018-03-11
PC,ncsa,12,3241,2018-03-11
XBOX,ncsa,10,5736,2018-03-11
PC,emea,7,1433,2018-03-11
XBOX,emea,7,932,2018-03-11
XBOX,apac,2,9,2018-03-11
PS4,apac,19,131,2018-03-11
XBOX,emea,6,622,2018-03-11
PC,emea,6,1045,2018-03-11
PC,apac,2,75,2018-03-11
PC,emea,2,236,2018-03-11
PC,ncsa,18,584,2018-03-11
XBOX,apac,6,69,2018-03-11
PS4,emea,19,722,2018-03-11
PS4,ncsa,11,6703,2018-03-11
XBOX,emea,2,94,2018-03-11
XBOX,ncsa,18,1578,2018-03-11
XBOX,apac,16,306,2018-03-11
PC,apac,16,1465,2018-03-11
PC,emea,16,5321,2018-03-11
XBOX,emea,16,3824,2018-03-11
PC,apac,8,564,2018-03-11
XBOX,ncsa,10,14345,2018-04-01
PC,emea,7,4514,2018-04-01
XBOX,emea,7,2924,2018-04-01
XBOX,apac,2,60,2018-04-01
PS4,apac,19,720,2018-04-01
PC,ncsa,20,802,2018-04-01
XBOX,emea,4,1250,2018-04-01
XBOX,apac,4,161,2018-04-01
PC,global,19,2646,2018-04-03
PS4,emea,19,4005,2018-04-04
PS4,ncsa,11,15600,2018-04-04
XBOX,global,14,67191,2018-04-26
PS4,apac,0,1211041,2018-03-24
PS4,emea,0,947399,2018-03-24
PC,ncsa,9,3808,2018-03-24
PS4,apac,17,7149,2018-03-24
XBOX,ncsa,9,9256,2018-03-24
PS4,emea,14,46785,2018-03-24
PS4,apac,14,9755,2018-03-24
PS4,emea,17,29716,2018-03-24
PS4,global,9,51659,2018-05-24
PS4,global,3,15481,2018-05-24
PC,apac,9,3481,2018-04-12
PC,apac,7,1250,2018-03-27
PC,apac,16,3859,2018-03-27
PC,emea,16,12437,2018-03-27
XBOX,emea,16,7898,2018-03-27
PC,apac,8,1725,2018-03-27
XBOX,apac,8,435,2018-03-27
PC,ncsa,9,7326,2018-05-09
XBOX,apac,15,974,2018-03-17
PS4,ncsa,13,28903,2018-03-17
PC,emea,15,14609,2018-03-17
XBOX,emea,15,9559,2018-03-17
XBOX,ncsa,8,5555,2018-03-17
PS4,ncsa,1,1591,2018-03-17
PS4,apac,5,795,2018-03-17
PS4,global,12,34592,2018-03-17
PC,global,18,4163,2018-03-17
PC,global,9,8817,2018-03-17
XBOX,global,9,10451,2018-03-17
PS4,global,14,76511,2018-03-17
PS4,global,19,3356,2018-03-17
XBOX,global,3,1388,2018-03-17
PC,global,3,1466,2018-03-17
XBOX,global,4,1901,2018-03-17
PC,global,4,1969,2018-03-17
PS4,global,17,42572,2018-03-17
PS4,global,16,38394,2018-03-17
PS4,global,13,80574,2018-03-17
XBOX,global,10,14354,2018-03-17
PC,global,11,12861,2018-03-17
XBOX,global,11,15715,2018-03-17
PC,global,10,11765,2018-03-17
PS4,global,6,9873,2018-03-17
PC,global,15,26924,2018-03-17
PS4,global,7,12988,2018-03-17
PC,global,20,1393,2018-03-17
XBOX,global,20,1105,2018-03-17
PS4,global,5,7174,2018-03-17
XBOX,global,15,33405,2018-03-17
PS4,global,0,729405,2018-03-17
PS4,global,2,2250,2018-03-17
PC,global,1,2625,2018-03-17
XBOX,global,8,8225,2018-03-17
PC,global,8,6899,2018-03-17
XBOX,global,1,1702,2018-03-17
PS4,global,4,4838,2018-03-17
PC,global,17,17230,2018-03-17
XBOX,global,17,23238,2018-03-17
PC,global,6,4006,2018-03-17
PS4,global,11,29868,2018-03-17
PC,global,16,16644,2018-03-17
XBOX,global,6,4277,2018-03-17
PC,global,13,37734,2018-03-17
PC,global,0,522247,2018-03-17
XBOX,global,7,5794,2018-03-17
PC,global,5,2804,2018-03-17
PC,global,7,4985,2018-03-17
XBOX,emea,2,402,2018-03-22
XBOX,ncsa,18,5158,2018-03-22
PC,global,20,2121,2018-03-22
XBOX,global,20,1717,2018-03-22
PS4,global,5,9646,2018-03-22
XBOX,global,15,38244,2018-03-22
PS4,global,0,681370,2018-03-22
PS4,global,2,3312,2018-03-22
PC,global,1,3906,2018-03-22
XBOX,global,8,10381,2018-03-22
PC,global,8,8667,2018-03-22
XBOX,global,1,2777,2018-03-22
PS4,global,4,6715,2018-03-22
XBOX,global,5,3984,2018-03-22
PS4,global,20,4256,2018-03-22
XBOX,global,0,449112,2018-03-22
PC,emea,11,8279,2018-03-23
PC,ncsa,4,1086,2018-03-27
PC,apac,19,487,2018-03-29
PS4,apac,14,7628,2018-03-16
PS4,emea,17,20745,2018-03-16
PC,ncsa,10,3825,2018-03-16
XBOX,ncsa,12,12092,2018-03-16
XBOX,apac,7,194,2018-03-16
PC,apac,7,635,2018-03-16
PC,ncsa,12,4738,2018-03-16
XBOX,ncsa,10,9089,2018-03-16
PC,emea,7,2499,2018-03-16
XBOX,emea,7,1566,2018-03-16
XBOX,apac,2,27,2018-03-16
PS4,apac,19,289,2018-03-16
XBOX,emea,6,1206,2018-03-16
PC,emea,6,1861,2018-03-16
PC,apac,2,136,2018-03-16
XBOX,apac,8,295,2018-03-16
PS4,ncsa,5,1989,2018-03-16
PS4,apac,1,743,2018-03-16
PC,ncsa,20,309,2018-03-16
PS4,emea,1,2383,2018-03-16
XBOX,emea,8,2172,2018-03-16
PC,emea,8,3442,2018-03-16
XBOX,ncsa,20,627,2018-03-16
PC,ncsa,15,8177,2018-03-16
PS4,apac,13,8212,2018-03-16
XBOX,ncsa,15,22200,2018-03-16
PS4,emea,13,42155,2018-03-16
PC,ncsa,4,543,2018-03-16
XBOX,ncsa,4,1155,2018-03-16
PC,emea,4,923,2018-03-16
XBOX,emea,4,546,2018-03-16
XBOX,apac,4,53,2018-03-16
PC,apac,4,269,2018-03-16
PS4,global,20,6418,2018-03-30
PC,apac,0,688243,2018-03-11
XBOX,ncsa,3,360,2018-03-11
PC,emea,0,637263,2018-03-11
XBOX,emea,0,651227,2018-03-11
XBOX,emea,14,8708,2018-03-11
PC,apac,17,1574,2018-03-11
PS4,ncsa,9,4111,2018-03-11
XBOX,apac,17,295,2018-03-11
PC,emea,14,13234,2018-03-11
PC,ncsa,6,740,2018-03-11
PC,ncsa,7,894,2018-03-11
XBOX,apac,10,300,2018-03-11
PC,apac,12,1306,2018-03-11
XBOX,apac,12,411,2018-03-11
PC,apac,10,963,2018-03-11
XBOX,ncsa,7,1789,2018-03-11
PC,emea,10,3921,2018-03-11
XBOX,emea,12,3375,2018-03-11
PC,emea,12,5263,2018-03-11
XBOX,apac,8,159,2018-03-11
PS4,apac,1,446,2018-03-11
PS4,ncsa,5,1047,2018-03-11
PS4,emea,1,1080,2018-03-11
PC,ncsa,20,110,2018-03-11
XBOX,emea,8,1414,2018-03-11
PC,emea,8,2076,2018-03-11
XBOX,ncsa,20,197,2018-03-11
PC,ncsa,15,5280,2018-03-11
PS4,apac,13,5384,2018-03-11
XBOX,ncsa,15,15259,2018-03-11
PS4,emea,13,30877,2018-03-11
PC,ncsa,4,293,2018-03-11
XBOX,ncsa,4,545,2018-03-11
PC,emea,4,468,2018-03-11
XBOX,emea,4,219,2018-03-11
XBOX,apac,4,23,2018-03-11
PC,apac,4,127,2018-03-11
XBOX,apac,15,610,2018-03-11
PC,apac,15,2566,2018-03-11
PS4,ncsa,13,19800,2018-03-11
PC,emea,15,9844,2018-03-11
XBOX,emea,15,6660,2018-03-11
XBOX,ncsa,8,2896,2018-03-11
PC,emea,20,216,2018-03-11
PS4,apac,5,295,2018-03-11
PS4,ncsa,1,587,2018-03-11
XBOX,emea,20,93,2018-03-11
PC,ncsa,8,1375,2018-03-11
XBOX,apac,20,6,2018-03-11
PC,apac,20,133,2018-03-11
PS4,emea,5,1721,2018-03-11
PC,ncsa,16,3102,2018-03-11
XBOX,ncsa,16,9069,2018-03-11
PS4,apac,16,2234,2018-03-11
PS4,emea,16,12951,2018-03-11
XBOX,apac,1,20,2018-03-11
XBOX,ncsa,5,798,2018-03-11
PS4,apac,8,873,2018-03-11
PC,apac,1,268,2018-03-11
PC,ncsa,5,472,2018-03-11
PC,emea,1,637,2018-03-11
PS4,ncsa,20,248,2018-03-11
PS4,emea,8,5512,2018-03-11
XBOX,emea,1,218,2018-03-11
PC,apac,13,3547,2018-03-11
PS4,ncsa,15,14467,2018-03-11
XBOX,apac,13,952,2018-03-11
XBOX,emea,13,8660,2018-03-11
PC,emea,13,13075,2018-03-11
PS4,ncsa,4,668,2018-03-11
PS4,emea,4,1157,2018-03-11
PS4,apac,4,239,2018-03-11
XBOX,ncsa,13,19885,2018-03-11
PS4,apac,15,3897,2018-03-11
PC,ncsa,13,7773,2018-03-11
PS4,emea,15,22211,2018-03-11
PC,apac,5,171,2018-03-11
PC,ncsa,1,314,2018-03-11
PC,ncsa,7,1280,2018-03-13
PS4,emea,20,453,2018-03-11
XBOX,apac,5,64,2018-03-11
XBOX,ncsa,1,429,2018-03-11
PS4,ncsa,8,3351,2018-03-11
XBOX,emea,5,392,2018-03-11
PS4,apac,20,108,2018-03-11
PC,emea,5,657,2018-03-11
PS4,ncsa,16,8542,2018-03-11
XBOX,global,18,2396,2018-03-11
PS4,global,12,22561,2018-03-11
PC,global,18,1909,2018-03-11
PC,ncsa,20,194,2018-03-13
XBOX,global,0,431528,2018-03-30
PS4,global,15,74770,2018-03-30
XBOX,global,2,1868,2018-03-30
XBOX,apac,15,711,2018-03-12
PC,apac,15,3139,2018-03-12
PS4,ncsa,13,23185,2018-03-12
PC,emea,15,11369,2018-03-12
XBOX,emea,15,7692,2018-03-12
XBOX,ncsa,8,3671,2018-03-12
PC,emea,20,284,2018-03-12
PC,global,9,4846,2018-03-11
XBOX,global,9,5556,2018-03-11
PS4,global,14,54997,2018-03-11
PS4,global,19,1292,2018-03-11
XBOX,global,3,528,2018-03-11
PC,global,3,649,2018-03-11
XBOX,global,4,786,2018-03-11
PC,global,4,877,2018-03-11
PS4,global,17,21582,2018-03-11
PS4,global,16,23638,2018-03-11
PS4,global,13,55752,2018-03-11
XBOX,global,10,8518,2018-03-11
PC,global,11,7552,2018-03-11
XBOX,global,11,9538,2018-03-11
PC,global,10,7200,2018-03-11
PS4,global,6,4776,2018-03-11
PC,global,15,17523,2018-03-11
PS4,global,7,6569,2018-03-11
PC,global,20,457,2018-03-11
XBOX,global,20,296,2018-03-11
PS4,global,5,3051,2018-03-11
XBOX,global,15,22441,2018-03-11
PS4,global,0,859618,2018-03-11
PS4,global,2,859,2018-03-11
PC,global,1,1189,2018-03-11
XBOX,global,8,4453,2018-03-11
PC,global,8,3985,2018-03-11
XBOX,global,1,660,2018-03-11
PS4,global,4,2048,2018-03-11
PC,global,17,8565,2018-03-11
XBOX,global,17,11526,2018-03-11
PC,global,6,2030,2018-03-11
XBOX,global,13,29405,2018-03-11
XBOX,global,16,13159,2018-03-11
PS4,global,10,17633,2018-03-11
PS4,global,11,19034,2018-03-11
PC,global,16,9779,2018-03-11
XBOX,global,6,1946,2018-03-11
PC,global,13,24167,2018-03-11
PC,global,0,577879,2018-03-11
XBOX,global,7,2831,2018-03-11
PC,global,5,1288,2018-03-11
PC,global,7,2640,2018-03-11
XBOX,global,5,1250,2018-03-11
PS4,global,20,809,2018-03-11
XBOX,global,0,540551,2018-03-11
PS4,global,15,40388,2018-03-11
XBOX,global,2,307,2018-03-11
PS4,global,8,9680,2018-03-11
PS4,global,1,2085,2018-03-11
PC,global,2,446,2018-03-11
PS4,global,18,4769,2018-03-11
PC,global,12,9730,2018-03-11
XBOX,global,12,11513,2018-03-11
PS4,global,9,12237,2018-03-11
PS4,global,3,1401,2018-03-11
XBOX,global,19,582,2018-03-11
XBOX,global,14,29691,2018-03-11
PC,global,14,24247,2018-03-11
PC,global,19,498,2018-03-11
PC,global,5,3429,2018-03-20
PC,global,7,6092,2018-03-20
XBOX,global,5,3642,2018-03-20
PS4,global,20,3825,2018-03-20
XBOX,global,0,453781,2018-03-20
PS4,global,15,64858,2018-03-20
XBOX,global,2,1173,2018-03-20
PS4,global,8,20570,2018-03-20
PS4,global,1,6652,2018-03-20
PC,global,2,1322,2018-03-20
PS4,global,18,13218,2018-03-20
PC,global,12,16988,2018-03-20
XBOX,global,12,20800,2018-03-20
PS4,global,9,24764,2018-03-20
PS4,global,3,4440,2018-03-20
XBOX,global,19,1907,2018-03-20
XBOX,global,14,47960,2018-03-20
PC,global,14,40272,2018-03-20
PC,global,19,1659,2018-03-20
XBOX,apac,17,1108,2018-04-01
PC,emea,14,25826,2018-04-01
PC,apac,14,9393,2018-04-01
XBOX,emea,17,10298,2018-04-01
PS4,global,18,32631,2018-05-24
PS4,global,5,10825,2018-03-25
XBOX,global,15,40563,2018-03-25
PS4,global,0,663758,2018-03-25
PS4,global,2,3886,2018-03-25
PC,global,1,4612,2018-03-25
XBOX,global,8,11416,2018-03-25
PC,global,8,9576,2018-03-25
XBOX,global,1,3425,2018-03-25
PS4,global,4,7703,2018-03-25
PC,global,17,24822,2018-03-25
XBOX,global,17,31979,2018-03-25
PC,global,6,5523,2018-03-25
XBOX,global,13,54410,2018-03-25
PC,global,12,33214,2018-05-24
XBOX,global,12,37258,2018-05-24
PC,emea,6,6072,2018-05-09
PC,apac,13,13239,2018-04-16
PC,emea,3,964,2018-03-20
XBOX,emea,3,586,2018-03-20
PC,ncsa,3,603,2018-03-20
XBOX,apac,0,742905,2018-03-20
PC,apac,0,713414,2018-03-20
PC,emea,10,6944,2018-03-19
PC,emea,12,10962,2018-03-29
XBOX,apac,9,572,2018-03-29
PC,apac,9,2339,2018-03-29
PS4,ncsa,17,23423,2018-03-29
PC,emea,9,6961,2018-03-29
PS4,ncsa,14,34772,2018-03-29
XBOX,emea,9,4544,2018-03-29
PC,ncsa,15,11429,2018-03-28
PS4,apac,13,11529,2018-03-28
XBOX,ncsa,15,29678,2018-03-28
PS4,emea,13,53407,2018-03-28
PC,ncsa,4,1110,2018-03-28
XBOX,ncsa,4,2348,2018-03-28
PS4,emea,14,39619,2018-03-16
PC,global,7,4685,2018-03-16
XBOX,global,5,2702,2018-03-16
PS4,global,20,2348,2018-03-16
XBOX,global,0,481197,2018-03-16
PS4,global,15,56507,2018-03-16
XBOX,global,2,802,2018-03-16
PS4,global,8,16234,2018-03-16
PS4,global,1,4449,2018-03-16
PC,global,2,969,2018-03-16
PS4,global,18,9780,2018-03-16
PC,global,12,14259,2018-03-16
XBOX,global,12,17667,2018-03-16
PS4,global,9,20199,2018-03-16
PS4,global,3,3015,2018-03-16
XBOX,global,19,1342,2018-03-16
PC,emea,4,1698,2018-03-28
PC,global,9,7293,2018-03-14
XBOX,global,9,8736,2018-03-14
PS4,global,14,69292,2018-03-14
PS4,global,19,2325,2018-03-14
XBOX,global,3,1030,2018-03-14
PC,global,3,1087,2018-03-14
XBOX,global,4,1401,2018-03-14
PC,global,4,1476,2018-03-14
PC,ncsa,9,3569,2018-03-22
PS4,apac,17,6704,2018-03-22
XBOX,ncsa,9,8779,2018-03-22
PS4,emea,14,45527,2018-03-22
PS4,apac,14,9307,2018-03-22
