platform,region,rank,amount,relevant_at
PC,apac,1,1303,2018-02-12
PS4,ncsa,20,4116,2018-02-12
PC,emea,1,5057,2018-02-12
PS4,emea,8,15002,2018-02-12
XBOX,emea,1,3133,2018-02-12
PC,apac,13,9013,2018-02-12
PS4,ncsa,15,30469,2018-02-12
XBOX,apac,13,2630,2018-02-12
XBOX,emea,13,15369,2018-02-12
PC,emea,13,26885,2018-02-12
PS4,ncsa,4,4926,2018-02-12
PS4,emea,4,6705,2018-02-12
PS4,apac,4,1395,2018-02-12
XBOX,emea,0,466082,2018-02-11
XBOX,emea,14,14669,2018-02-11
PC,apac,17,7012,2018-02-11
PS4,ncsa,9,13171,2018-02-11
XBOX,apac,17,1919,2018-02-11
PC,emea,14,25881,2018-02-11
PC,apac,14,8118,2018-02-11
XBOX,emea,17,12993,2018-02-11
PC,emea,17,19397,2018-02-11
XBOX,apac,14,2328,2018-02-11
PS4,ncsa,10,14798,2018-02-11
PS4,apac,7,2642,2018-02-11
PS4,ncsa,12,17102,2018-02-11
PS4,emea,7,12300,2018-02-11
PC,apac,19,701,2018-02-11
XBOX,apac,19,201,2018-02-11
PS4,emea,6,10267,2018-02-11
PS4,apac,2,827,2018-02-11
PS4,emea,2,3710,2018-02-11
PS4,ncsa,18,11858,2018-02-11
XBOX,emea,19,1492,2018-02-11
PS4,apac,6,2164,2018-02-11
XBOX,ncsa,11,15602,2018-02-11
PC,ncsa,11,6621,2018-02-11
PC,emea,19,2015,2018-02-11
PC,ncsa,2,1080,2018-02-11
PC,emea,18,5931,2018-02-11
XBOX,emea,18,4508,2018-02-11
XBOX,ncsa,2,2344,2018-02-11
PS4,ncsa,19,4307,2018-02-11
PS4,emea,11,21091,2018-02-11
PS4,apac,11,4435,2018-02-11
XBOX,ncsa,6,6850,2018-02-11
XBOX,apac,18,521,2018-02-11
PC,apac,18,1790,2018-02-11
PC,ncsa,6,2740,2018-02-11
PC,ncsa,7,3314,2018-02-11
XBOX,apac,10,1048,2018-02-11
PC,apac,12,3096,2018-02-11
XBOX,apac,12,1236,2018-02-11
PC,apac,10,2649,2018-02-11
XBOX,ncsa,7,8357,2018-02-11
PC,emea,10,8794,2018-02-11
XBOX,emea,12,6703,2018-02-11
XBOX,emea,10,5546,2018-02-11
PC,emea,12,10869,2018-02-11
XBOX,ncsa,13,39139,2018-02-12
PS4,apac,15,8133,2018-02-12
PC,ncsa,13,17956,2018-02-12
PS4,emea,15,39819,2018-02-12
PC,apac,5,926,2018-02-12
PC,ncsa,1,3588,2018-02-12
PS4,emea,20,6523,2018-02-12
XBOX,apac,5,429,2018-02-12
XBOX,ncsa,1,8521,2018-02-12
PS4,ncsa,8,11140,2018-02-12
XBOX,emea,5,2161,2018-02-12
PC,emea,5,2960,2018-02-12
PS4,apac,20,2147,2018-02-12
PS4,ncsa,16,23904,2018-02-12
XBOX,global,18,16880,2018-02-12
PS4,global,12,42291,2018-02-12
PC,global,18,10662,2018-02-12
PC,global,9,14210,2018-02-12
XBOX,global,9,18022,2018-02-12
PS4,global,14,89015,2018-02-12
PS4,global,19,11243,2018-02-12
XBOX,global,3,4619,2018-02-12
PC,global,3,3518,2018-02-12
XBOX,global,4,5953,2018-02-12
PC,global,4,4356,2018-02-12
PS4,global,17,84696,2018-02-12
PS4,global,16,58977,2018-02-12
PS4,global,13,95064,2018-02-12
XBOX,global,10,20579,2018-02-12
PC,global,11,18251,2018-02-12
XBOX,global,11,22204,2018-02-12
PC,global,10,17116,2018-02-12
XBOX,ncsa,19,3998,2018-02-11
XBOX,emea,11,5995,2018-02-11
PS4,ncsa,2,2846,2018-02-11
PS4,emea,18,15883,2018-02-11
PC,ncsa,19,1276,2018-02-11
PC,emea,11,9648,2018-02-11
PC,apac,11,2824,2018-02-11
PS4,apac,18,2957,2018-02-11
XBOX,apac,11,1057,2018-02-11
PS4,ncsa,6,7530,2018-02-11
PS4,ncsa,7,9017,2018-02-11
PS4,apac,12,4706,2018-02-11
PS4,apac,10,4349,2018-02-11
PS4,emea,10,19783,2018-02-11
PS4,emea,12,22735,2018-02-11
XBOX,ncsa,17,35989,2018-02-11
PC,ncsa,17,11920,2018-02-11
PS4,apac,9,3702,2018-02-11
PS4,emea,9,17480,2018-02-11
XBOX,ncsa,14,37003,2018-02-11
PC,ncsa,14,16812,2018-02-11
