level,avg_time_ranked,avg_time_casual,avg_time_total,count
204,1533001.093373085784,1233327.513213172517,2766328.606586258301,7379
205,1533918.782012195122,1258421.558896895787,2792340.340909090909,7216
206,1546688.574480205070,1282613.593990316149,2829302.168470521219,7022
207,1560379.954024676851,1290689.874706227967,2851069.828730904818,6808
208,1600611.493472981178,1275542.190042501518,2876153.683515482696,6588
209,1604175.199667221298,1304571.968688549387,2908747.168355770685,6611
210,1625388.234926585442,1308347.136051233989,2933735.370977819431,6402
211,1656420.179862023653,1315150.000985545335,2971570.180847568988,6088
212,1672370.655509783728,1329154.796258153107,3001525.451767936835,5826
213,1679645.385216033316,1343896.419052576783,3023541.804268610099,5763
214,1726742.010097431355,1326517.722054915855,3053259.732152347210,5645
215,1716667.051567055394,1363725.777696793003,3080392.829263848397,5488
216,1749280.718437441027,1364219.871107756180,3113500.589545197207,5299
217,1771374.140060813379,1371799.765488407450,3143173.905549220829,5262
218,1758607.495829094608,1405055.810579857579,3163663.306408952187,4915
219,1796557.539443398200,1390264.395480225989,3186821.934923624189,4779
220,1831101.362609786700,1397648.464031785864,3228749.826641572564,4782
221,1839235.833513280069,1414355.658820988987,3253591.492334269056,4631
222,1831516.434861552429,1443757.550839763958,3275273.985701316387,4406
223,1894183.046421221130,1431315.211525268694,3325498.257946489824,4373
224,1882926.423354156655,1466075.773426237386,3349002.196780394041,4162
225,1945408.307483998031,1432044.269079271295,3377452.576563269325,4062
226,1950992.480453972257,1441730.092055485498,3392722.572509457755,3965
227,1949364.397877297437,1474584.671239968936,3423949.069117266373,3863
228,1975990.929276754737,1491500.336269015212,3467491.265545769949,3747
229,2017820.532218926934,1489736.859530870855,3507557.391749797789,3709
230,2015852.890426758939,1513263.076701268743,3529115.967128027682,3468
231,2021851.916017316017,1528267.740259740260,3550119.656277056277,3465
232,2053473.503548287566,1533549.676643011416,3587023.180191298982,3241
233,2072744.625881631401,1540898.462434835940,3613643.088316467341,3261
234,2100880.871730223763,1559754.274503624330,3660635.146233848093,3173
235,2104313.463018242123,1561933.843449419569,3666247.306467661692,3015
236,2119823.442547603414,1589266.648391332896,3709090.090938936310,3046
237,2149769.096706377015,1577214.604414856342,3726983.701121233357,2854
238,2159641.759884974838,1613772.368080517613,3773414.127965492451,2782
239,2230777.411943704831,1594776.757322175732,3825554.169265880563,2629
240,2253799.738756355104,1567865.089558075870,3821664.828314430974,2557
241,2249181.143205858421,1640338.938161106591,3889520.081366965012,2458
242,2268366.982594280978,1632976.213841690841,3901343.196435971819,2413
243,2284732.770678336980,1646185.635010940919,3930918.405689277899,2285
244,2336968.623201046664,1606757.935891844745,3943726.559092891409,2293
245,2326801.735795454545,1664322.619791666667,3991124.355587121212,2112
246,2364632.069962686567,1649343.122667910448,4013975.192630597015,2144
247,2397978.138151425762,1677298.188790560472,4075276.326941986234,2034
248,2360845.358286009293,1727036.598347960764,4087881.956633970057,1937
249,2364753.228150406504,1734230.802337398374,4098984.030487804878,1968
250,2421960.515283842795,1729203.947052401747,4151164.462336244541,1832
251,2424577.136310904872,1775059.859048723898,4199636.995359628770,1724
252,2527444.947556615018,1690570.204410011919,4218015.151966626937,1678
253,2498036.268354430380,1735703.704430379747,4233739.972784810127,1580
254,2527178.258664955071,1767696.810654685494,4294875.069319640565,1558
255,2505268.971986970684,1831058.137459283388,4336327.109446254072,1535
256,2558340.140292553191,1754068.479388297872,4312408.619680851064,1504
257,2608962.152218430034,1758252.881911262799,4367215.034129692833,1465
258,2606158.962304409673,1804965.416785206259,4411124.379089615932,1406
259,2682421.048816568047,1794283.827662721893,4476704.876479289941,1352
260,2735260.202119606359,1740132.053747161241,4475392.255866767600,1321
261,2644643.192546583851,1836503.703416149068,4481146.895962732919,1288
262,2672400.794995964487,1867482.757869249395,4539883.552865213882,1239
263,2807374.757142857143,1787196.106722689076,4594570.863865546218,1190
264,2734990.455256298871,1840826.264118158123,4575816.719374456994,1151
265,2744223.631977294229,1900297.937559129612,4644521.569536423841,1057
266,2834368.684577114428,1844917.683582089552,4679286.368159203980,1005
267,2882938.125638406537,1823017.627170582227,4705955.752808988764,979
268,2851328.413431269675,1856750.526757607555,4708078.940188877230,953
269,2865199.619469026549,1926465.310717797443,4791664.930186823992,1017
270,2894389.552602436323,1921628.320044296788,4816017.872646733112,903
271,2978578.066350710900,1914726.661137440758,4893304.727488151659,844
272,2973348.424912689173,1867962.641443538999,4841311.066356228172,859
273,2888294.236230110159,2006888.099143206854,4895182.335373317013,817
274,3118083.164663461538,1860021.574519230769,4978104.739182692308,832
275,3039561.507751937984,1900198.773901808786,4939760.281653746770,774
276,3082444.528704939920,1897499.368491321762,4979943.897196261682,749
277,3125510.647988505747,1894552.637931034483,5020063.285919540230,696
278,3113122.599105812221,1951673.688524590164,5064796.287630402385,671
279,3108758.213432835821,2006564.019402985075,5115322.232835820896,670
280,3060377.606758832565,2063497.920122887865,5123875.526881720430,651
281,3133235.096214511041,2023224.955835962145,5156460.052050473186,634
282,3162920.164912280702,2038917.131578947368,5201837.296491228070,570
283,3323747.183421516755,1943103.174603174603,5266850.358024691358,567
284,3230172.032846715328,2091989.116788321168,5322161.149635036496,548
285,3307482.352589641434,1959625.848605577689,5267108.201195219124,502
286,3261015.960629921260,2054164.832677165354,5315180.793307086614,508
287,3359007.335365853659,2128178.339430894309,5487185.674796747967,492
288,3463476.235807860262,2020931.617903930131,5484407.853711790393,458
289,3396743.258620689655,2059526.681034482759,5456269.939655172414,464
290,3405875.466501240695,2083148.263027295285,5489023.729528535980,403
291,3435973.387243735763,2040259.822323462415,5476233.209567198178,439
292,3546876.959232613909,2066730.928057553957,5613607.887290167866,417
293,3389453.446236559140,2168887.075268817204,5558340.521505376344,372
294,3434328.791773778920,2250207.817480719794,5684536.609254498715,389
295,3589633.172222222222,2126514.705555555556,5716147.877777777778,360
296,3554612.086705202312,2102430.254335260116,5657042.341040462428,346
297,3565267.374213836478,2178385.893081761006,5743653.267295597484,318
298,3603851.709580838323,2197407.035928143713,5801258.745508982036,334
299,3587581.693379790941,2104917.358885017422,5692499.052264808362,287
300,3582770.014440433213,2170943.931407942238,5753713.945848375451,277
301,3878604.317829457364,2078168.961240310078,5956773.279069767442,258
302,3646418.723247232472,2200798.435424354244,5847217.158671586716,271
303,3866034.870129870130,2118211.411255411255,5984246.281385281385,231
304,4121953.261044176707,1930903.899598393574,6052857.160642570281,249
305,3735419.334975369458,2263211.487684729064,5998630.822660098522,203
306,3712049.893617021277,2254965.497872340426,5967015.391489361702,235
307,4084145.343750000000,2104684.473958333333,6188829.817708333333,192
308,3802843.514563106796,2341698.601941747573,6144542.116504854369,206
309,3749263.188775510204,2203090.556122448980,5952353.744897959184,196
310,3991008.430851063830,2144309.856382978723,6135318.287234042553,188
311,4062745.375634517766,2145384.888324873096,6208130.263959390863,197
312,4185849.494736842105,2034798.489473684211,6220647.984210526316,190
313,3937225.423529411765,2304931.452941176471,6242156.876470588235,170
314,4325736.671957671958,2069256.650793650794,6394993.322751322751,189
315,3757215.458598726115,2542488.904458598726,6299704.363057324841,157
316,4301880.536764705882,2322020.330882352941,6623900.867647058824,136
317,4024688.677215189873,2163481.981012658228,6188170.658227848101,158
318,4020789.887323943662,2430176.070422535211,6450965.957746478873,142
319,4121031.568345323741,2255870.877697841727,6376902.446043165468,139
320,3848715.992481203008,2480542.864661654135,6329258.857142857143,133
321,4165307.190082644628,2121846.008264462810,6287153.198347107438,121
322,3873579.754237288136,2529933.711864406780,6403513.466101694915,118
323,4184352.008695652174,2312870.426086956522,6497222.434782608696,115
324,4417301.740740740741,2235810.046296296296,6653111.787037037037,108
325,4594862.818965517241,2277830.784482758621,6872693.603448275862,116
326,4340023.297029702970,2398648.316831683168,6738671.613861386139,101
327,4134725.147368421053,2528898.157894736842,6663623.305263157895,95
328,4366846.413461538462,2286365.692307692308,6653212.105769230769,104
329,3994747.886075949367,2612688.265822784810,6607436.151898734177,79
330,4069577.313953488372,2850405.279069767442,6919982.593023255814,86
331,3942502.091954022989,2848074.574712643678,6790576.666666666667,87
332,4181987.091954022989,2581945.494252873563,6763932.586206896552,87
333,3662429.171052631579,2826283.986842105263,6488713.157894736842,76
334,4124445.468354430380,2320573.632911392405,6445019.101265822785,79
335,4968542.196969696970,2307800.454545454545,7276342.651515151515,66
336,4338421.444444444444,2649651.037037037037,6988072.481481481481,54
337,4276432.123076923077,2718685.400000000000,6995117.523076923077,65
338,4379137.457142857143,2292131.542857142857,6671269.000000000000,70
339,4798364.444444444444,2169350.851851851852,6967715.296296296296,54
340,4577131.454545454545,2538984.709090909091,7116116.163636363636,55
341,4677646.760869565217,2464326.347826086957,7141973.108695652174,46
342,4266433.983050847458,2400388.627118644068,6666822.610169491525,59
343,4898169.403508771930,2723238.649122807018,7621408.052631578947,57
344,4567033.685185185185,2426178.518518518519,6993212.203703703704,54
345,4486406.220000000000,2734466.420000000000,7220872.640000000000,50
346,4786417.666666666667,2241429.562500000000,7027847.229166666667,48
347,3741744.513513513514,2842700.324324324324,6584444.837837837838,37
348,5086003.645161290323,1944189.709677419355,7030193.354838709677,31
349,4594229.243902439024,2669999.292682926829,7264228.536585365854,41
350,4821882.828571428571,2100533.171428571429,6922416.000000000000,35
351,4553708.657894736842,2892222.368421052632,7445931.026315789474,38
352,4684775.088235294118,2467966.117647058824,7152741.205882352941,34
353,4905198.000000000000,2697247.866666666667,7602445.866666666667,30
354,5817750.031250000000,2182314.093750000000,8000064.125000000000,32
355,6224639.636363636364,2181978.727272727273,8406618.363636363636,22
356,4777163.619047619048,2862542.904761904762,7639706.523809523810,21
357,4556434.869565217391,2611692.652173913043,7168127.521739130435,23
358,5182801.241379310345,3549732.620689655172,8732533.862068965517,29
359,4782038.785714285714,2423989.178571428571,7206027.964285714286,28
360,5111857.608695652174,3115763.739130434783,8227621.347826086957,23
361,3261068.111111111111,3905507.185185185185,7166575.296296296296,27
362,4302345.571428571429,3101110.571428571429,7403456.142857142857,21
363,6883167.941176470588,1650278.764705882353,8533446.705882352941,17
364,5804287.000000000000,1924093.388888888889,7728380.388888888889,18
365,5339776.000000000000,2838382.913043478261,8178158.913043478261,23
366,3653223.421052631579,3917529.736842105263,7570753.157894736842,19
367,5747015.142857142857,2660598.142857142857,8407613.285714285714,14
368,4483556.842105263158,2280696.157894736842,6764253.000000000000,19
369,6890090.428571428571,1540091.785714285714,8430182.214285714286,14
370,4379400.428571428571,3126471.142857142857,7505871.571428571429,21
371,5121377.555555555556,2872185.333333333333,7993562.888888888889,9
372,6864417.235294117647,2016266.941176470588,8880684.176470588235,17
373,3267328.923076923077,4180577.384615384615,7447906.307692307692,13
374,5013363.900000000000,2443752.800000000000,7457116.700000000000,20
375,4099395.214285714286,2757177.428571428571,6856572.642857142857,14
376,8533098.000000000000,1370252.250000000000,9903350.250000000000,8
377,4494191.333333333333,3013684.055555555556,7507875.388888888889,18
378,5131689.900000000000,2829791.800000000000,7961481.700000000000,10
379,4829665.000000000000,3255901.083333333333,8085566.083333333333,12
380,6478217.400000000000,2162961.200000000000,8641178.600000000000,5
381,4534655.600000000000,2494630.800000000000,7029286.400000000000,10
382,5681662.500000000000,2347688.166666666667,8029350.666666666667,6
383,6316042.714285714286,2596664.857142857143,8912707.571428571429,7
384,1468647.000000000000,2974326.500000000000,4442973.500000000000,4
385,7480459.000000000000,1891577.200000000000,9372036.200000000000,5
386,5430790.000000000000,2419681.833333333333,7850471.833333333333,12
387,5193531.400000000000,2678585.900000000000,7872117.300000000000,10
388,2239872.166666666667,6088093.833333333333,8327966.000000000000,6
389,5731076.000000000000,3115876.777777777778,8846952.777777777778,9
390,4562518.000000000000,3875761.333333333333,8438279.333333333333,9
391,2800278.833333333333,3892036.416666666667,6692315.250000000000,12
392,398769.333333333333,7277185.000000000000,7675954.333333333333,3
393,4950079.428571428571,2850265.142857142857,7800344.571428571429,7
394,4833956.428571428571,3985703.428571428571,8819659.857142857143,7
395,5385098.500000000000,4164710.333333333333,9549808.833333333333,6
396,8263660.750000000000,1619999.000000000000,9883659.750000000000,4
397,4634193.600000000000,3787920.200000000000,8422113.800000000000,5
398,6752396.666666666667,3230070.000000000000,9982466.666666666667,3
399,3338089.666666666667,4046660.000000000000,7384749.666666666667,3
400,3855532.000000000000,3156333.400000000000,7011865.400000000000,5
401,6676101.750000000000,2027627.500000000000,8703729.250000000000,4
402,4700388.600000000000,1559561.000000000000,6259949.600000000000,5
403,7300854.750000000000,3010153.500000000000,10311008.250000000000,4
404,2745089.750000000000,5048450.500000000000,7793540.250000000000,4
405,11354950.000000000000,1681667.000000000000,13036617.000000000000,1
406,6391804.000000000000,3268602.000000000000,9660406.000000000000,3
407,3378331.000000000000,774062.500000000000,4152393.500000000000,2
408,3010762.000000000000,1139646.750000000000,4150408.750000000000,4
409,6101166.250000000000,2412284.500000000000,8513450.750000000000,4
410,4130556.500000000000,2215152.500000000000,6345709.000000000000,4
411,6043660.500000000000,2960623.000000000000,9004283.500000000000,4
412,7963804.500000000000,2535972.500000000000,10499777.000000000000,2
413,3199533.250000000000,6240175.500000000000,9439708.750000000000,4
415,12621998.000000000000,1074986.000000000000,13696984.000000000000,1
416,6227691.500000000000,5702314.500000000000,11930006.000000000000,2
417,6178398.500000000000,3213508.000000000000,9391906.500000000000,2
419,3141982.333333333333,1391002.333333333333,4532984.666666666667,3
420,290381.000000000000,1476383.500000000000,1766764.500000000000,2
421,6299016.200000000000,4218948.800000000000,10517965.000000000000,5
422,5474328.666666666667,2185009.333333333333,7659338.000000000000,3
423,305952.000000000000,1889031.000000000000,2194983.000000000000,1
424,1184242.666666666667,3838840.333333333333,5023083.000000000000,3
425,4128600.000000000000,3127097.666666666667,7255697.666666666667,3
426,47533.000000000000,1800285.000000000000,1847818.000000000000,1
429,11443742.000000000000,513918.000000000000,11957660.000000000000,1
430,16917.333333333333,682734.333333333333,699651.666666666667,3
432,13240736.000000000000,140652.000000000000,13381388.000000000000,1
433,11410477.000000000000,701886.000000000000,12112363.000000000000,1
434,5508478.833333333333,4238886.333333333333,9747365.166666666667,6
435,315193.000000000000,10310888.000000000000,10626081.000000000000,1
437,972005.000000000000,6779983.000000000000,7751988.000000000000,1
439,1196140.000000000000,4583469.500000000000,5779609.500000000000,2
440,10281679.000000000000,1708430.000000000000,11990109.000000000000,1
442,7345534.000000000000,6049933.000000000000,13395467.000000000000,1
443,1945935.000000000000,3504289.000000000000,5450224.000000000000,1
446,11983113.000000000000,882754.000000000000,12865867.000000000000,1
452,1385182.000000000000,7163696.000000000000,8548878.000000000000,2
454,10257669.000000000000,1280890.000000000000,11538559.000000000000,1
456,642911.000000000000,1198290.000000000000,1841201.000000000000,1
458,7018624.500000000000,4079366.500000000000,11097991.000000000000,2
467,2033759.000000000000,3602490.000000000000,5636249.000000000000,1
468,11135912.000000000000,2951569.000000000000,14087481.000000000000,1
472,385423.000000000000,3819988.000000000000,4205411.000000000000,1
476,441573.500000000000,10925171.500000000000,11366745.000000000000,2
478,1837247.000000000000,3502593.000000000000,5339840.000000000000,1
482,98027.000000000000,12858161.000000000000,12956188.000000000000,1
483,465817.000000000000,1136529.000000000000,1602346.000000000000,1
489,0.00000000000000000000,72322.000000000000,72322.000000000000,1
490,62980.000000000000,954406.000000000000,1017386.000000000000,1
508,28385.000000000000,1242731.000000000000,1271116.000000000000,1
518,21134714.000000000000,632300.000000000000,21767014.000000000000,1
